latitude,longitude,druh_objektu_text,price,floor_size,Podlažie,Počet nadzemných podlaží,Stav nehnuteľnosti,Vlastníctvo,Typ konštrukcie,Rok výstavby,Počet izieb / miestností,Cena vrátane energií,streetAddress,addressRegion,days_since_publication,update_publication_delta,Vybavenie_Verejné parkovanie,Vybavenie_Altánok / posedenie,Vybavenie_Vyhradené parkovanie,Vybavenie_Vonkajší krb,Vybavenie_Pivnica,Vybavenie_Technická miestnosť,Vybavenie_Šatníkové skrine,Vybavenie_Predzáhradka,Vybavenie_Balkón,Vybavenie_Garážové státie,Vybavenie_Vonkajšie parkovacie miesto,Vybavenie_Lodžia,Vybavenie_Sklad,Vybavenie_Výťah,Vybavenie_Špajza,Vybavenie_Tepelná izolácia,room_count,condition_score,is_new,is_renovated
48.7051133,18.9159319,1 izbový byt,37990.0,20.0,1.0,2.0,Kompletná rekonštrukcia,Osobné,Panelová,1900.0,1.0,Nie,Kremnica,Banskobystrický kraj,471,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
48.80379186,19.64515979,3 izbový byt,289500.0,123.28,3.0,4.0,Kompletná rekonštrukcia,Osobné,Zmiešaná,,3.0,Nie,Brezno,Banskobystrický kraj,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1
48.806356,19.6438876,3 izbový byt,289500.0,123.38,3.0,4.0,Kompletná rekonštrukcia,Osobné,Zmiešaná,1950.0,3.0,Nie,Brezno,Banskobystrický kraj,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,1
48.5605479,19.1578952,2 izbový byt,115000.0,55.0,3.0,5.0,Čiastočná rekonštrukcia,Osobné,,,,Nie,Zvolen,Banskobystrický kraj,139,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1
48.7874563,19.6399794,4 izbový byt,137000.0,84.0,,,Kompletná rekonštrukcia,Osobné,Panelová,,,Nie,Brezno,Banskobystrický kraj,67,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,3,0,1
48.736277,19.1461917,1 izbový byt,117000.0,40.0,3.0,7.0,Čiastočná rekonštrukcia,Osobné,Panelová,1900.0,1.0,Nie,Banská Bystrica,Banskobystrický kraj,67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,0,1
48.719225,19.1208773,2 izbový byt,124900.0,67.0,,,Novostavba,Osobné,,,2.0,Nie,Banská Bystrica,Banskobystrický kraj,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0
48.209301,19.355223,4 izbový byt,75900.0,74.0,6.0,8.0,Čiastočná rekonštrukcia,Osobné,Panelová,1990.0,,Nie,Veľký Krtíš,Banskobystrický kraj,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,1
48.214735,19.353286,3 izbový byt,78500.0,74.0,2.0,8.0,Kompletná rekonštrukcia,Osobné,Panelová,1980.0,3.0,Nie,Veľký Krtíš,Banskobystrický kraj,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,1
48.483633,18.7191072,2 izbový byt,74263.0,35.72,2.0,7.0,Novostavba,Firemné,Iná,2023.0,2.0,Nie,Žarnovica,Banskobystrický kraj,839,772,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,1,0
48.5782077,19.1505706,1 izbový byt,97000.0,38.0,,,Kompletná rekonštrukcia,Osobné,Panelová,1980.0,1.0,Nie,Zvolen,Banskobystrický kraj,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1
48.5782517,19.1247135,2 izbový byt,128000.0,56.0,3.0,4.0,Čiastočná rekonštrukcia,Osobné,Panelová,1980.0,2.0,Nie,Zvolen,Banskobystrický kraj,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
